desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Tim-Philipp Muller,GDK_WINDOWING_X11,0,3.332,0.693,3.296,12,totem-missing-plugins.c,1,1,100.0,1.0,3.704,0.05,2,0.5,28.571428571428573,0.6273904869289575,0.6843655664637392
Bastien Nocera,GNOME_ENABLE_DEBUG,1,2.303,1.792,1.609,3,totemPlugin.cpp,3,1,75.0,1.0,55.556,1.0,30,0.2777777777777778,1.2239902080783354,0.8829448441683632,1.0
Bastien Nocera,GNOME_ENABLE_DEBUG,1,2.303,1.792,1.609,3,totem-plugin-viewer.c,2,0,66.667,1.0,55.556,1.0,4,0.4444444444444444,9.523809523809524,0.8829448441683632,1.0
Christian Persch,GNOME_ENABLE_DEBUG,0,2.303,1.609,1.792,3,totem-mozilla-viewer.c,2,1,100.0,1.0,44.444,0.8,6,0.75,28.571428571428573,0.8510349252982852,0.9638596690599246
Christian Persch,GNOME_ENABLE_DEBUG,0,2.303,1.609,1.792,3,totem-plugin-viewer.c,1,1,33.333,0.5,44.444,0.8,5,0.5555555555555556,11.904761904761905,0.5514499252982852,0.6245576141482431
Christian Persch,GNOME_ENABLE_DEBUG,0,2.303,1.609,1.792,3,totemPlugin.cpp,1,0,25.0,0.333,44.444,0.8,31,0.28703703703703703,1.2647898816809466,0.45138853529828527,0.5112307278077416
Sebastian Droge,GST_DEBUG_BIN_TO_DOT_FILE,0,1.099,0.693,0.693,1,bacon-video-widget-gst-0.10.c,1,0,50.0,1.0,50.0,1.0,1,0.16666666666666666,5.882352941176471,0.9075700315670454,1.0
Tim-Philipp Muller,GST_DEBUG_BIN_TO_DOT_FILE,1,1.099,0.693,0.693,1,bacon-video-widget-gst-0.10.c,1,1,50.0,1.0,50.0,1.0,2,0.3333333333333333,11.764705882352942,0.9075700315670454,1.0
Tim-Philipp Muller,GST_DISABLE_GST_DEBUG,1,0.693,0.693,0.0,1,bacon-video-widget-gst-0.10.c,1,1,100.0,1.0,100.0,1.0,3,0.5,17.647058823529413,0.9821873255543234,1.0
Bastien Nocera,GST_TAG_IMAGE,0,1.099,0.693,0.693,1,bacon-video-widget-gst.c,1,0,50.0,1.0,50.0,1.0,1,0.1111111111111111,3.125,0.9075700315670454,1.0
Ronald Bultje,GST_TAG_IMAGE,1,1.099,0.693,0.693,1,bacon-video-widget-gst.c,1,1,50.0,1.0,50.0,1.0,2,0.2222222222222222,6.25,0.9075700315670454,1.0
Bastien Nocera,G_HAVE_GNUC_VARARGS,1,1.099,1.099,0.0,1,totemPlugin.cpp,2,1,100.0,1.0,100.0,1.0,33,0.3055555555555556,1.346389228886169,1.0095035098875704,1.0
Bastien Nocera,G_HAVE_ISO_VARARGS,1,1.946,1.792,0.693,3,totemPlugin.cpp,2,1,66.667,1.0,83.333,1.0,35,0.32407407407407407,1.4279885760913913,0.981583541454616,1.0
Bastien Nocera,G_HAVE_ISO_VARARGS,1,1.946,1.792,0.693,3,totem-video-thumbnailer.c,1,1,100.0,1.0,83.333,1.0,1,0.047619047619047616,1.2658227848101267,0.981583541454616,1.0
Bastien Nocera,G_HAVE_ISO_VARARGS,1,1.946,1.792,0.693,3,totem-gallery-thumbnailer.c,2,1,100.0,1.0,83.333,1.0,2,0.3333333333333333,16.666666666666668,0.981583541454616,1.0
Philip Withnall,G_HAVE_ISO_VARARGS,0,1.946,0.693,1.792,3,totemPlugin.cpp,1,0,33.333,0.5,16.667,0.2,36,0.3333333333333333,1.4687882496940023,0.48971941869192337,0.49890752850868353
Bastien Nocera,G_OS_UNIX,0,1.946,1.609,1.099,3,totem-video-thumbnailer.c,2,0,66.667,1.0,66.667,1.0,3,0.14285714285714285,3.7974683544303796,0.9256522192855633,1.0
Bastien Nocera,G_OS_UNIX,0,1.946,1.609,1.099,3,totem-gallery-thumbnailer.c,2,1,100.0,1.0,66.667,1.0,4,0.6666666666666666,33.333333333333336,0.9256522192855633,1.0
James Livingston,G_OS_UNIX,1,1.946,0.693,1.792,3,totem-video-thumbnailer.c,1,1,33.333,0.5,16.667,0.25,4,0.19047619047619047,5.063291139240507,0.48971941869192337,0.5290533620390372
Shixin Zeng,G_OS_UNIX,0,1.946,0.693,1.792,3,totem-resources.c,1,1,100.0,1.0,16.667,0.25,1,1.0,100.0,0.7893044186919234,0.8527008332580072
Bastien Nocera,G_OS_WIN32,1,1.609,1.609,0.0,2,egg-recent-model.c,2,1,100.0,1.0,100.0,1.0,4,0.5,20.0,1.0439178321606852,1.0
Bastien Nocera,G_OS_WIN32,1,1.609,1.609,0.0,2,egg-recent-util.c,2,1,100.0,1.0,100.0,1.0,2,0.18181818181818182,11.764705882352942,1.0439178321606852,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,input_gnomevfs.c,2,1,100.0,1.0,81.013,1.0,2,0.2857142857142857,14.285714285714286,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,egg-recent-model.c,2,1,100.0,1.0,81.013,1.0,6,0.75,30.0,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,egg-recent-view-gtk.c,2,1,100.0,1.0,81.013,1.0,4,0.5714285714285714,30.76923076923077,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,egg-recent-view.c,2,1,100.0,1.0,81.013,1.0,2,1.0,100.0,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,totem-properties-page.c,2,1,100.0,1.0,81.013,1.0,2,1.0,100.0,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,cd-drive.c,2,1,100.0,1.0,81.013,1.0,13,0.35135135135135137,5.579399141630901,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,dvd_plus_rw_utils.cpp,2,1,100.0,1.0,81.013,1.0,6,0.375,8.333333333333334,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,bacon-cd-selection.c,4,1,200.0,1.0,81.013,1.0,9,0.45,14.0625,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,bacon-v4l-selection.c,2,1,100.0,1.0,81.013,1.0,6,0.5,17.647058823529413,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,totem-pl-parser.c,2,1,66.667,1.0,81.013,1.0,4,0.3076923076923077,9.523809523809524,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,ev-sidebar.c,2,1,100.0,1.0,81.013,1.0,2,1.0,100.0,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,totem-video-indexer.c,2,1,100.0,1.0,81.013,1.0,2,0.4,28.571428571428573,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,metadata-test.c,1,0,50.0,1.0,81.013,1.0,1,0.16666666666666666,7.142857142857143,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,totem-pl-parser-lines.c,2,1,100.0,1.0,81.013,1.0,2,0.4,28.571428571428573,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,totem-pl-parser-media.c,2,1,100.0,1.0,81.013,1.0,2,0.5,33.333333333333336,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,totem-pl-parser-misc.c,2,1,100.0,1.0,81.013,1.0,2,0.5,33.333333333333336,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,totem-pl-parser-pls.c,2,1,100.0,1.0,81.013,1.0,2,0.4,28.571428571428573,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,totem-pl-parser-qt.c,2,1,100.0,1.0,81.013,1.0,2,0.5,33.333333333333336,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,totem-pl-parser-smil.c,2,1,100.0,1.0,81.013,1.0,2,0.5,33.333333333333336,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,totem-pl-parser-wm.c,2,1,100.0,1.0,81.013,1.0,2,0.5,33.333333333333336,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,totem-pl-parser-xspf.c,2,1,100.0,1.0,81.013,1.0,2,0.4,28.571428571428573,0.9182492944237566,1.0
Bastien Nocera,HAVE_CONFIG_H,1,4.382,4.174,2.773,39,totem-plugin-manager.c,2,1,100.0,1.0,81.013,1.0,2,1.0,100.0,0.9182492944237566,1.0
