desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,qtd_commits,commits,doa_a,doa_n,classificacao,autor
John Haque,arrayparm.c,0,True,,1,1fea520248b42ca995c8797698c60301ea42ffe9  -  2011-08-20 08:28:02-05:00,3.7573449654180515,0.8689512930467672,Generalista,Autor
Arnold D. Robbins,att.getopt.c,1,False,MSDOS,2,"0f1b7311fbc0e61e3e12194ce3e8484aaa4b7fe6  -  2010-07-02 15:52:23+03:00, f3d9dd233ac07f764a554528c85be3768a1d1ddb  -  2010-07-02 15:53:23+03:00",4.719,1.0,Especialista,Autor
Arnold D. Robbins,awk.tab.c,16,True,FAST,6,"3ffce190be7a1d11725c224fa76876d2b621d00d  -  2010-07-02 15:44:01+03:00, 483a58b779f2bd6c5fff64c9429a766d33e46a41  -  2010-07-02 15:49:42+03:00, f3d9dd233ac07f764a554528c85be3768a1d1ddb  -  2010-07-02 15:53:23+03:00, 3697ec5ca140f686643d204a54181a5ddbf9a799  -  2010-07-15 23:12:49+03:00, 765c7494b3dac62207e6cd57fb839997e237f292  -  2010-07-16 11:58:26+03:00, dbd583bd2b8a6dd40c622875a4e197360cb5aba7  -  2010-07-16 12:04:45+03:00",5.375,1.0,Misto,Autor
Arnold D. Robbins,awk.tab.c,,,YYIMPURE,,,,,,Autor
Arnold D. Robbins,awk.tab.c,,,YYLTYPE,,,,,,Autor
Arnold D. Robbins,awk.tab.c,,,YYMAXDEPTH,,,,,,Autor
Arnold D. Robbins,awk.tab.c,,,YYMAXLIMIT,,,,,,Autor
Arnold D. Robbins,awk.tab.c,,,YYPURE,,,,,,Autor
Arnold D. Robbins,awk.tab.c,,,__STDC__,,,,,,Autor
Arnold D. Robbins,awk.tab.c,,,yyoverflow,,,,,,Autor
Arnold D. Robbins,awk.tab.c,,,DEBUG,,,,,,Autor
Arnold D. Robbins,awk.tab.c,,,DEFPATH,,,,,,Autor
Arnold D. Robbins,awk.tab.c,,,MSDOS,,,,,,Autor
Arnold D. Robbins,awk.tab.c,,,NULL,,,,,,Autor
Arnold D. Robbins,awk.tab.c,,,YYDEBUG,,,,,,Autor
Arnold D. Robbins,awk.tab.c,,,YYLSP_NEEDED,,,,,,Autor
Arnold D. Robbins,awk.tab.c,,,sun,,,,,,Autor
Arnold D. Robbins,awk.tab.c,,,RELAXED_CONTINUATION,,,,,,Autor
Arnold D. Robbins,awk1.c,6,True,DONTDEF,5,"3ffce190be7a1d11725c224fa76876d2b621d00d  -  2010-07-02 15:44:01+03:00, 3711eedc1b995eb1926c9ffb902d5d796cacf8d0  -  2010-07-02 15:46:31+03:00, 483a58b779f2bd6c5fff64c9429a766d33e46a41  -  2010-07-02 15:49:42+03:00, f3d9dd233ac07f764a554528c85be3768a1d1ddb  -  2010-07-02 15:53:23+03:00, 3697ec5ca140f686643d204a54181a5ddbf9a799  -  2010-07-15 23:12:49+03:00",5.211,1.0,Misto,Autor
Arnold D. Robbins,awk1.c,,,FAST,,,,,,Autor
Arnold D. Robbins,awk1.c,,,DEBUG,,,,,,Autor
