"Desenvolvedor","Data","Commits","Total"
"Ethan A Merritt","2009-10-01",10,4149
"Ethan A Merritt","2009-11-01",2,4149
"Ethan A Merritt","2009-12-01",13,4149
"Ethan A Merritt","2010-01-01",9,4149
"Ethan A Merritt","2010-02-01",16,4149
"Ethan A Merritt","2010-03-01",15,4149
"Ethan A Merritt","2010-04-01",1,4149
"Ethan A Merritt","2010-05-01",8,4149
"Ethan A Merritt","2010-06-01",17,4149
"Ethan A Merritt","2010-07-01",14,4149
"Ethan A Merritt","2010-08-01",14,4149
"Petr Mikulik","2010-08-01",2,4149
"Ethan A Merritt","2010-09-01",21,4149
"Ethan A Merritt","2010-10-01",24,4149
"Ethan A Merritt","2010-11-01",14,4149
"Ethan A Merritt","2010-12-01",8,4149
"Ethan A Merritt","2011-01-01",8,4149
"Bastian Maerkisch","2011-02-01",12,4149
"Ethan A Merritt","2011-02-01",5,4149
"Bastian Maerkisch","2011-03-01",26,4149
"Ethan A Merritt","2011-03-01",8,4149
"Bastian Maerkisch","2011-04-01",16,4149
"Ethan A Merritt","2011-04-01",14,4149
"Bastian Maerkisch","2011-05-01",20,4149
"Ethan A Merritt","2011-05-01",21,4149
"Ethan A Merritt","2011-06-01",10,4149
"Bastian Maerkisch","2011-07-01",1,4149
"Ethan A Merritt","2011-07-01",8,4149
"Bastian Maerkisch","2011-08-01",6,4149
"Ethan A Merritt","2011-08-01",7,4149
"Bastian Maerkisch","2011-09-01",6,4149
"Ethan A Merritt","2011-09-01",12,4149
"Ethan A Merritt","2011-10-01",10,4149
"Bastian Maerkisch","2011-11-01",10,4149
"Ethan A Merritt","2011-11-01",24,4149
"Bastian Maerkisch","2011-12-01",2,4149
"Ethan A Merritt","2011-12-01",22,4149
"Ethan A Merritt","2012-01-01",21,4149
"Jerome Lodewyck","2012-01-01",1,4149
"Ethan A Merritt","2012-02-01",4,4149
"Jerome Lodewyck","2012-02-01",1,4149
"Ethan A Merritt","2012-03-01",14,4149
"Ethan A Merritt","2012-04-01",12,4149
"Jerome Lodewyck","2012-04-01",1,4149
"Bastian Maerkisch","2012-05-01",6,4149
"Ethan A Merritt","2012-05-01",21,4149
"Bastian Maerkisch","2012-06-01",4,4149
"Ethan A Merritt","2012-06-01",10,4149
"Bastian Maerkisch","2012-07-01",2,4149
"Ethan A Merritt","2012-07-01",13,4149
"Ethan A Merritt","2012-08-01",17,4149
"Ethan A Merritt","2012-09-01",16,4149
"Bastian Maerkisch","2012-10-01",4,4149
"Ethan A Merritt","2012-10-01",24,4149
"Bastian Maerkisch","2012-11-01",1,4149
"Ethan A Merritt","2012-11-01",26,4149
"Ethan A Merritt","2012-12-01",14,4149
"Ethan A Merritt","2013-01-01",12,4149
"Ethan A Merritt","2013-02-01",20,4149
"Ethan A Merritt","2013-03-01",10,4149
"Bastian Maerkisch","2013-04-01",6,4149
"Ethan A Merritt","2013-04-01",21,4149
"Ethan A Merritt","2013-05-01",28,4149
"Bastian Maerkisch","2013-06-01",7,4149
"Ethan A Merritt","2013-06-01",22,4149
"Bastian Maerkisch","2013-07-01",3,4149
"Ethan A Merritt","2013-07-01",13,4149
"Ethan A Merritt","2013-08-01",21,4149
"Ethan A Merritt","2013-09-01",31,4149
"Ethan A Merritt","2013-10-01",36,4149
