desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Gary V. Vaughan,(__STDC__) && __STDC__,0,2.079,1.792,1.099,5,xstrdup.c,2,1,100.0,1.0,71.429,1.0,4,0.5,15.384615384615385,0.9379352225667721,1.0
Gary V. Vaughan,(__STDC__) && __STDC__,0,2.079,1.792,1.099,5,xstrzdup.c,1,1,100.0,1.0,71.429,1.0,1,1.0,100.0,0.9379352225667721,1.0
Gary V. Vaughan,(__STDC__) && __STDC__,0,2.079,1.792,1.099,5,obstack.c,1,0,50.0,1.0,71.429,1.0,5,0.25,3.676470588235294,0.9379352225667721,1.0
Gary V. Vaughan,(__STDC__) && __STDC__,0,2.079,1.792,1.099,5,xstrndup.c,1,1,100.0,1.0,71.429,1.0,1,1.0,100.0,0.9379352225667721,1.0
Jeff Bailey,(__STDC__) && __STDC__,1,2.079,1.099,1.792,5,m4obstack.c,1,1,100.0,1.0,28.571,0.4,2,0.2222222222222222,4.444444444444445,0.8166206030251704,0.8706577846499786
Jeff Bailey,(__STDC__) && __STDC__,1,2.079,1.099,1.792,5,obstack.c,1,1,50.0,1.0,28.571,0.4,6,0.3,4.411764705882353,0.8166206030251704,0.8706577846499786
Gary V. Vaughan,(__STDC__) ||  (PROTOTYPES),1,1.099,1.099,0.0,1,strtol.c,2,1,100.0,1.0,100.0,1.0,2,0.06060606060606061,0.6472491909385113,1.0095035098875704,1.0
Gary V. Vaughan,(__WINDOWS__) || (__CYGWIN__),1,1.099,1.099,0.0,1,ltdl.c,2,1,100.0,1.0,100.0,1.0,8,0.07079646017699115,0.253324889170361,1.0095035098875704,1.0
Eric Blake,(__ultrix) && (__vax),0,1.099,0.693,0.693,1,stackovf.c,1,0,50.0,1.0,50.0,1.0,1,0.041666666666666664,0.3333333333333333,0.9075700315670454,1.0
Gary V. Vaughan,(__ultrix) && (__vax),1,1.099,0.693,0.693,1,stackovf.c,1,1,50.0,1.0,50.0,1.0,2,0.08333333333333333,0.6666666666666666,0.9075700315670454,1.0
Gary V. Vaughan,ALIGN_SIZE,0,1.099,0.693,0.693,1,alloca.c,1,0,50.0,1.0,50.0,1.0,7,0.25,2.1538461538461537,0.9075700315670454,1.0
Jeff Bailey,ALIGN_SIZE,1,1.099,0.693,0.693,1,alloca.c,1,1,50.0,1.0,50.0,1.0,8,0.2857142857142857,2.4615384615384617,0.9075700315670454,1.0
Gary V. Vaughan,BIND_RESTRICTED,0,1.099,0.693,0.693,1,ltdl.c,1,0,50.0,1.0,50.0,1.0,9,0.07964601769911504,0.2849905003166561,0.9075700315670454,1.0
Jeff Bailey,BIND_RESTRICTED,1,1.099,0.693,0.693,1,ltdl.c,1,1,50.0,1.0,50.0,1.0,10,0.08849557522123894,0.31665611146295125,0.9075700315670454,1.0
Gary V. Vaughan,BYTE,1,1.099,1.099,0.0,1,regex.c,2,1,100.0,1.0,100.0,1.0,9,0.10975609756097561,0.30570652173913043,1.0095035098875704,1.0
Gary V. Vaughan,COPYING_UNIT,0,1.386,0.693,1.099,2,obstack.c,1,0,50.0,1.0,33.333,0.5,7,0.35,5.147058823529412,0.8639217126792015,0.924092898136537
Jeff Bailey,COPYING_UNIT,1,1.386,1.099,0.693,2,m4obstack.c,1,1,100.0,1.0,66.667,1.0,3,0.3333333333333333,6.666666666666667,0.9348862159002924,1.0
Jeff Bailey,COPYING_UNIT,1,1.386,1.099,0.693,2,obstack.c,1,1,50.0,1.0,66.667,1.0,8,0.4,5.882352941176471,0.9348862159002924,1.0
Gary V. Vaughan,CRAY2,0,1.099,0.693,0.693,1,alloca.c,1,0,50.0,1.0,50.0,1.0,9,0.32142857142857145,2.769230769230769,0.9075700315670454,1.0
Jeff Bailey,CRAY2,1,1.099,0.693,0.693,1,alloca.c,1,1,50.0,1.0,50.0,1.0,10,0.35714285714285715,3.076923076923077,0.9075700315670454,1.0
Gary V. Vaughan,CRAY_STACK,0,1.099,0.693,0.693,1,alloca.c,1,0,50.0,1.0,50.0,1.0,11,0.39285714285714285,3.3846153846153846,0.9075700315670454,1.0
Jeff Bailey,CRAY_STACK,1,1.099,0.693,0.693,1,alloca.c,1,1,50.0,1.0,50.0,1.0,12,0.42857142857142855,3.6923076923076925,0.9075700315670454,1.0
Jeff Bailey,C_ALLOCA,1,0.693,0.693,0.0,1,regex.c,1,1,100.0,1.0,100.0,1.0,10,0.12195121951219512,0.33967391304347827,0.9821873255543234,1.0
Gary V. Vaughan,DEBUG,0,1.609,1.099,1.099,2,regex.c,2,0,66.667,1.0,50.0,1.0,12,0.14634146341463414,0.4076086956521739,0.8912378970124486,1.0
Jeff Bailey,DEBUG,1,1.609,1.099,1.099,2,m4regex.c,1,1,100.0,1.0,50.0,1.0,3,0.09375,0.5681818181818182,0.8912378970124486,1.0
