desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Joel E. Denny,!  YYSTYPE && !  YYSTYPE_IS_DECLARED,0,2.708,1.386,2.485,4,push.c,1,0,50.0,1.0,21.429,0.429,3,0.05084745762711865,0.1959503592423253,0.7613844502589688,0.8939269082961442
Paul Eggert,!  YYSTYPE && !  YYSTYPE_IS_DECLARED,1,2.708,1.609,2.398,4,glr.c,1,1,50.0,1.0,28.571,0.571,23,0.23958333333333334,0.654711073156846,0.7857844060439407,0.922574429308694
Paul Eggert,!  YYSTYPE && !  YYSTYPE_IS_DECLARED,1,2.708,1.609,2.398,4,yacc.c,1,1,33.333,1.0,28.571,0.571,17,0.10625,0.2188183807439825,0.7857844060439407,0.922574429308694
Paul Eggert,!  YYSTYPE && !  YYSTYPE_IS_DECLARED,1,2.708,1.609,2.398,4,parse-gram.c,1,1,14.286,0.167,28.571,0.571,46,0.16606498194945848,0.22319262493934983,0.2866757960439407,0.33658056446218737
Paul Eggert,!  YYSTYPE && !  YYSTYPE_IS_DECLARED,1,2.708,1.609,2.398,4,push.c,1,1,50.0,1.0,28.571,0.571,4,0.06779661016949153,0.2612671456564337,0.7857844060439407,0.922574429308694
Akim Demaille,!  __GNUC__ || __GNUC__ < 2,0,1.609,1.099,1.099,2,ebitset.c,1,0,50.0,1.0,50.0,1.0,1,0.05555555555555555,0.8928571428571429,0.8912378970124486,1.0
Akim Demaille,!  __GNUC__ || __GNUC__ < 2,0,1.609,1.099,1.099,2,lbitset.c,1,0,50.0,1.0,50.0,1.0,1,0.0625,1.2048192771084338,0.8912378970124486,1.0
Paul Eggert,!  __GNUC__ || __GNUC__ < 2,1,1.609,1.099,1.099,2,ebitset.c,1,1,50.0,1.0,50.0,1.0,2,0.1111111111111111,1.7857142857142858,0.8912378970124486,1.0
Paul Eggert,!  __GNUC__ || __GNUC__ < 2,1,1.609,1.099,1.099,2,lbitset.c,1,1,50.0,1.0,50.0,1.0,2,0.125,2.4096385542168677,0.8912378970124486,1.0
Akim Demaille,!  lint ||  __GNUC__,0,2.485,1.946,1.792,4,glr.c,2,0,66.667,1.0,54.545,1.0,25,0.2604166666666667,0.7116424708226587,0.8737030598794563,1.0
Akim Demaille,!  lint ||  __GNUC__,0,2.485,1.946,1.792,4,yacc.c,2,0,66.667,1.0,54.545,1.0,19,0.11875,0.24456171965503926,0.8737030598794563,1.0
Akim Demaille,!  lint ||  __GNUC__,0,2.485,1.946,1.792,4,parse-gram.c,2,0,66.667,1.0,54.545,1.0,48,0.17328519855595667,0.2328966521106259,0.8737030598794563,1.0
Joel E. Denny,!  lint ||  __GNUC__,0,2.485,0.693,2.398,4,push.c,1,0,50.0,1.0,9.091,0.167,5,0.0847457627118644,0.32658393207054215,0.7240538994375789,0.8287185116845942
Paul Eggert,!  lint ||  __GNUC__,1,2.485,1.609,2.079,4,glr.c,1,1,33.333,0.5,36.364,0.667,26,0.2708333333333333,0.740108169655565,0.520480950198851,0.5957183556970272
Paul Eggert,!  lint ||  __GNUC__,1,2.485,1.609,2.079,4,yacc.c,1,1,33.333,0.5,36.364,0.667,20,0.125,0.2574333891105676,0.520480950198851,0.5957183556970272
Paul Eggert,!  lint ||  __GNUC__,1,2.485,1.609,2.079,4,parse-gram.c,1,1,33.333,0.5,36.364,0.667,49,0.17689530685920576,0.23774866569626396,0.520480950198851,0.5957183556970272
