"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total"
"2015-08-01","Xavier Claessens","Misto",0,11,10,21
"2015-09-01","Dan Winship","Misto",0,11,10,21
"2015-09-01","Ignacio Casal Quinteiro","Misto",0,11,11,22
"2015-10-01","Dan Winship","Misto",0,11,11,22
"2015-10-01","Ignacio Casal Quinteiro","Misto",0,11,11,22
"2016-01-01","Dan Winship","Misto",0,11,11,22
"2016-03-01","Adrien Plazas","Misto",0,11,12,23
"2016-03-01","Guido Guenther","Misto",0,11,13,24
"2016-05-01","Dan Winship","Misto",0,11,13,24
"2016-06-01","Dan Winship","Misto",0,11,13,24
"2016-07-01","Dan Winship","Misto",0,11,13,24
"2016-09-01","Dan Winship","Misto",0,11,13,24
"2017-04-01","Dan Winship","Misto",0,11,13,24
"2017-05-01","Dan Winship","Misto",0,11,13,24
"2017-07-01","Dan Winship","Misto",0,11,13,24
"2017-08-01","Dan Winship","Misto",0,11,13,24
"2017-10-01","Tomas Popela","Especialista",1,11,13,25
"2017-12-01","Italo Guerrieri","Generalista",1,12,13,26
"2018-06-01","Claudio Saavedra","Generalista",1,13,13,27
"2018-08-01","Claudio Saavedra","Generalista",1,13,13,27
"2018-09-01","Claudio Saavedra","Misto",1,12,14,27
"2018-12-01","Claudio Saavedra","Misto",1,12,14,27
"2019-02-01","Patrick Griffis","Misto",1,12,15,28
"2019-06-01","Carlos Garcia Campos","Misto",1,12,15,28
"2019-06-01","Claudio Saavedra","Misto",1,12,15,28
"2019-06-01","Patrick Griffis","Misto",1,12,15,28
"2019-07-01","Carlos Garcia Campos","Misto",1,12,15,28
"2019-08-01","Carlos Garcia Campos","Misto",1,12,15,28
"2019-08-01","Claudio Saavedra","Misto",1,12,15,28
"2019-09-01","Carlos Garcia Campos","Misto",1,12,15,28
"2019-09-01","Claudio Saavedra","Misto",1,12,15,28
"2019-11-01","Patrick Griffis","Misto",1,12,15,28
"2020-01-01","Carlos Garcia Campos","Misto",1,12,15,28
"2020-01-01","Patrick Griffis","Misto",1,12,15,28
"2020-02-01","Patrick Griffis","Misto",1,12,15,28
"2020-03-01","Patrick Griffis","Misto",1,12,15,28
"2020-07-01","Carlos Garcia Campos","Misto",1,12,15,28
"2020-07-01","Patrick Griffis","Misto",1,12,15,28
"2020-08-01","Patrick Griffis","Misto",1,12,15,28
"2020-09-01","Carlos Garcia Campos","Misto",1,12,15,28
"2020-09-01","Patrick Griffis","Misto",1,12,15,28
"2020-10-01","Carlos Garcia Campos","Misto",1,12,15,28
"2020-10-01","Patrick Griffis","Misto",1,12,15,28
"2020-11-01","Carlos Garcia Campos","Misto",1,12,15,28
"2020-11-01","Patrick Griffis","Misto",1,12,15,28
"2020-12-01","Carlos Garcia Campos","Misto",1,12,15,28
"2020-12-01","Patrick Griffis","Misto",NA,NA,NA,NA
