desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-cookie-jar.c,1,1,100.0,1.0,71.809,1.0,1,1.0,100.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-cookie.c,1,1,100.0,1.0,71.809,1.0,1,1.0,100.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,range-test.c,2,1,100.0,1.0,71.809,1.0,4,1.0,66.66666666666667,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-proxy-resolver-static.c,2,1,100.0,1.0,71.809,1.0,2,1.0,100.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-proxy-resolver.c,1,1,50.0,1.0,71.809,1.0,5,0.8333333333333334,23.80952380952381,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,get.c,5,1,166.667,1.0,71.809,1.0,11,0.6875,12.941176470588236,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-gnome-features.c,4,1,200.0,1.0,71.809,1.0,4,0.5714285714285714,25.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-proxy-resolver-gconf.c,4,1,100.0,1.0,71.809,1.0,4,1.0,100.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-proxy-resolver-libproxy.c,2,1,100.0,1.0,71.809,1.0,2,1.0,100.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-cookie-jar-sqlite.c,1,1,50.0,1.0,71.809,1.0,1,0.5,33.333333333333336,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-cookie-jar-text.c,1,1,100.0,1.0,71.809,1.0,1,1.0,100.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-proxy-resolver-gnome.c,1,1,50.0,1.0,71.809,1.0,1,0.25,14.285714285714286,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,timeout-test.c,2,1,100.0,1.0,71.809,1.0,2,0.5,22.22222222222222,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-proxy-uri-resolver.c,1,1,50.0,1.0,71.809,1.0,1,0.5,33.333333333333336,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-password-manager-gnome.c,1,1,50.0,1.0,71.809,1.0,1,0.5,33.333333333333336,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-password-manager.c,1,1,50.0,1.0,71.809,1.0,1,0.5,33.333333333333336,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-coding-gzip.c,2,1,100.0,1.0,71.809,1.0,2,1.0,100.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-coding.c,2,1,100.0,1.0,71.809,1.0,2,1.0,100.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-content-decoder.c,1,1,100.0,1.0,71.809,1.0,1,0.5,33.333333333333336,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-gnutls.c,1,0,50.0,1.0,71.809,1.0,11,0.5789473684210527,7.971014492753623,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-cache.c,1,1,100.0,1.0,71.809,1.0,1,1.0,100.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-directory-input-stream.c,1,1,50.0,1.0,71.809,1.0,1,0.5,33.333333333333336,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-request-data.c,1,1,50.0,1.0,71.809,1.0,2,1.0,66.66666666666667,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-request-file.c,1,1,50.0,1.0,71.809,1.0,4,1.0,40.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-request-http.c,1,1,50.0,1.0,71.809,1.0,2,1.0,66.66666666666667,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-request.c,1,1,50.0,1.0,71.809,1.0,2,1.0,66.66666666666667,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,ssl-test.c,2,1,100.0,1.0,71.809,1.0,4,1.0,66.66666666666667,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-filter-input-stream.c,1,1,100.0,1.0,71.809,1.0,1,1.0,100.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-body-input-stream.c,2,1,200.0,1.0,71.809,1.0,2,1.0,100.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-body-output-stream.c,1,1,100.0,1.0,71.809,1.0,1,1.0,100.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-content-sniffer-stream.c,1,1,100.0,1.0,71.809,1.0,1,1.0,100.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-client-input-stream.c,1,1,100.0,1.0,71.809,1.0,1,1.0,100.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-io-stream.c,1,1,100.0,1.0,71.809,1.0,1,1.0,100.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-status.c,1,1,100.0,1.0,71.809,1.0,1,0.3333333333333333,25.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-value-utils.c,1,1,50.0,1.0,71.809,1.0,5,0.8333333333333334,23.80952380952381,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-cookie-jar-db.c,1,1,100.0,1.0,71.809,1.0,1,1.0,100.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-auth-manager-ntlm.c,1,1,100.0,1.0,71.809,1.0,1,0.25,12.5,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-connection-auth.c,1,1,100.0,1.0,71.809,1.0,1,1.0,100.0,0.8370414270393935,1.0
Dan Winship,HAVE_CONFIG_H,0,5.242,4.913,3.989,120,soup-proxy-resolver-wrapper.c,1,1,50.0,1.0,71.809,1.0,1,0.5,33.333333333333336,0.8370414270393935,1.0
Guido Guenther,HAVE_CONFIG_H,0,5.242,1.099,5.231,120,get.c,1,0,33.333,0.2,1.064,0.015,12,0.75,14.117647058823529,-0.032961332716825664,-0.03937837680676038
Guido Guenther,HAVE_CONFIG_H,0,5.242,1.099,5.231,120,soup-auth-negotiate.c,1,1,100.0,1.0,1.064,0.015,1,0.3333333333333333,16.666666666666668,0.4463746672831743,0.5332766728906079
Gustavo Noronha Silva,HAVE_CONFIG_H,0,5.242,1.386,5.226,120,soup-content-sniffer.c,1,1,100.0,1.0,1.596,0.022,1,1.0,100.0,0.46633302168342083,0.5571205995536394
Gustavo Noronha Silva,HAVE_CONFIG_H,0,5.242,1.386,5.226,120,soup-proxy-resolver-default.c,1,1,50.0,1.0,1.596,0.022,1,0.5,33.333333333333336,0.46633302168342083,0.5571205995536394
