"Desenvolvedor","Data","Commits","Total"
"Timo Sirainen","2004-09-01",1,2567
"Valentin Batz","2004-09-01",6,2567
"Valentin Batz","2004-10-01",2,2567
"Valentin Batz","2004-11-01",1,2567
"Valentin Batz","2004-12-01",2,2567
"Valentin Batz","2005-01-01",3,2567
"Valentin Batz","2005-03-01",3,2567
"Valentin Batz","2005-05-01",1,2567
"Valentin Batz","2005-06-01",1,2567
"Valentin Batz","2005-07-01",2,2567
"Valentin Batz","2005-10-01",2,2567
"Timo Sirainen","2005-11-01",5,2567
"Valentin Batz","2005-11-01",1,2567
"Timo Sirainen","2006-01-01",1,2567
"Valentin Batz","2006-07-01",1,2567
"Nattfodd","2006-08-01",1,2567
"Emanuele Giaquinta","2006-09-01",12,2567
"Emanuele Giaquinta","2007-01-01",3,2567
"Emanuele Giaquinta","2007-02-01",1,2567
"Timo Sirainen","2007-02-01",1,2567
"Emanuele Giaquinta","2007-05-01",4,2567
"Emanuele Giaquinta","2007-06-01",1,2567
"Timo Sirainen","2007-06-01",1,2567
"Emanuele Giaquinta","2007-12-01",1,2567
"Emanuele Giaquinta","2008-02-01",2,2567
"Emanuele Giaquinta","2008-03-01",9,2567
"Emanuele Giaquinta","2008-04-01",7,2567
"Emanuele Giaquinta","2008-05-01",2,2567
"Emanuele Giaquinta","2008-06-01",3,2567
"Emanuele Giaquinta","2008-08-01",1,2567
"Emanuele Giaquinta","2008-10-01",1,2567
"Emanuele Giaquinta","2008-11-01",2,2567
"Emanuele Giaquinta","2009-01-01",1,2567
"Alexander Faeroy","2010-04-01",1,2567
"Alexander Faeroy","2010-07-01",1,2567
"Alexander Faeroy","2013-06-01",4,2567
"Alexander Faeroy","2014-01-01",1,2567
"Alexander Faeroy","2014-10-01",1,2567
"Alexander Faeroy","2015-01-01",1,2567
"Lemonboy","2015-02-01",1,2567
"Lemonboy","2015-09-01",10,2567
"Ailin-Nemui","2016-03-01",2,2567
"Giuseppe","2016-03-01",1,2567
"Lemonboy","2016-03-01",1,2567
"Xavier G","2016-05-01",8,2567
"Ailin-Nemui","2016-06-01",1,2567
"Lemonboy","2016-06-01",1,2567
"Lemonboy","2016-07-01",1,2567
"Alexander Faeroy","2016-10-01",17,2567
"Lemonboy","2016-10-01",1,2567
"Lemonboy","2016-12-01",2,2567
"Lemonboy","2017-01-01",1,2567
"Ailin-Nemui","2017-02-01",1,2567
"Ailin-Nemui","2017-06-01",3,2567
"Edward Tomasz Napierala","2017-07-01",20,2567
"Edward Tomasz Napierala","2017-08-01",3,2567
"Edward Tomasz Napierala","2017-09-01",1,2567
"Edward Tomasz Napierala","2017-10-01",5,2567
"Joseph Bisch","2017-10-01",1,2567
"Lemonboy","2017-10-01",15,2567
"Will Storey","2017-10-01",1,2567
"Ailin-Nemui","2017-11-01",5,2567
"Joseph Bisch","2017-11-01",3,2567
"Ailin-Nemui","2018-01-01",7,2567
"Joseph Bisch","2018-01-01",3,2567
"Lemonboy","2018-01-01",2,2567
"Ailin-Nemui","2018-02-01",1,2567
"Alexander Faeroy","2018-03-01",1,2567
"Dequis","2018-03-01",1,2567
"Ailin-Nemui","2018-04-01",1,2567
"Dequis","2018-04-01",1,2567
"Ailin-Nemui","2018-08-01",3,2567
"Dequis","2018-08-01",2,2567
"Will Storey","2018-08-01",2,2567
"Ailin-Nemui","2018-09-01",2,2567
"Ailin-Nemui","2018-11-01",2,2567
"Ailin-Nemui","2019-02-01",1,2567
"Alexander Faeroy","2019-02-01",1,2567
"Ailin-Nemui","2019-05-01",2,2567
"Ailin Nemui","2019-07-01",1,2567
"Ailin-Nemui","2019-08-01",3,2567
"Ailin-Nemui","2019-09-01",1,2567
"Ailin-Nemui","2020-03-01",2,2567
"Ailin-Nemui","2020-05-01",4,2567
"Ailin-Nemui","2020-07-01",1,2567
