"Desenvolvedor","Data","Commits","Total"
"Doug Engert","2015-04-01",1,2762
"Frank Morgner","2015-04-01",30,2762
"Philip Wendland","2015-04-01",1,2762
"Vletoux","2015-04-01",27,2762
"Doug Engert","2015-05-01",1,2762
"Frank Morgner","2015-05-01",1,2762
"German Blanco","2015-05-01",1,2762
"Hector Sanjuan","2015-05-01",1,2762
"Viktor Tarasov","2015-05-01",1,2762
"Vletoux","2015-05-01",5,2762
"German Blanco","2015-06-01",2,2762
"Frank Morgner","2015-07-01",8,2762
"German Blanco","2015-07-01",1,2762
"Andreas Schwier","2015-08-01",1,2762
"Frank Morgner","2015-08-01",4,2762
"Andreas Schwier","2015-09-01",2,2762
"Doug Engert","2015-09-01",1,2762
"Frank Morgner","2015-09-01",19,2762
"Peter Marschall","2015-09-01",11,2762
"Philip Wendland","2015-09-01",2,2762
"Vletoux","2015-09-01",5,2762
"Andreas Schwier","2015-10-01",1,2762
"Doug Engert","2015-10-01",2,2762
"Frank Morgner","2015-10-01",41,2762
"Peter Marschall","2015-10-01",8,2762
"Vletoux","2015-10-01",12,2762
"Frank Morgner","2015-11-01",14,2762
"German Blanco","2015-11-01",2,2762
"Hannu Honkanen","2015-11-01",1,2762
"Vletoux","2015-11-01",1,2762
"Andreas Schwier","2015-12-01",1,2762
"Doug Engert","2015-12-01",1,2762
"Frank Morgner","2015-12-01",4,2762
"Le Toux Vincent","2015-12-01",1,2762
"Vletoux","2015-12-01",1,2762
"Doug Engert","2016-01-01",1,2762
"Frank Morgner","2016-01-01",1,2762
"Andreas Schwier","2016-02-01",1,2762
"Frank Morgner","2016-02-01",4,2762
"German Blanco","2016-02-01",1,2762
"Viktor Tarasov","2016-02-01",2,2762
"Andreas Schwier","2016-03-01",1,2762
"Hannu Honkanen","2016-03-01",3,2762
"Viktor Tarasov","2016-03-01",3,2762
"Andreas Schwier","2016-04-01",1,2762
"Viktor Tarasov","2016-04-01",5,2762
"Doug Engert","2016-05-01",1,2762
"Frank Morgner","2016-05-01",2,2762
"Frank Morgner","2016-06-01",11,2762
"Hamano Tsukasa","2016-06-01",1,2762
"Doug Engert","2016-07-01",3,2762
"Hamano Tsukasa","2016-07-01",1,2762
"Doug Engert","2016-08-01",1,2762
"Frank Morgner","2016-08-01",2,2762
"Hannu Honkanen","2016-08-01",1,2762
"Maciej S. Szmigiero","2016-08-01",1,2762
"Frank Morgner","2016-09-01",7,2762
"Raul Metsma","2016-09-01",1,2762
"Frank Morgner","2016-10-01",2,2762
"Jakub Jelen","2016-10-01",1,2762
"Ricky","2016-10-01",2,2762
"Viktor Tarasov","2016-10-01",1,2762
"Frank Morgner","2016-11-01",3,2762
"Jakub Jelen","2016-11-01",2,2762
"Ricky","2016-11-01",2,2762
"Frank Morgner","2016-12-01",4,2762
"Hannu Honkanen","2016-12-01",1,2762
"Ricky","2016-12-01",1,2762
"Frank Morgner","2017-01-01",2,2762
"Jakub Jelen","2017-01-01",2,2762
"Frank Morgner","2017-02-01",7,2762
"Hamano Tsukasa","2017-02-01",1,2762
"Jakuje","2017-02-01",1,2762
"Ricky","2017-02-01",1,2762
"Frank Morgner","2017-03-01",5,2762
"Hamano Tsukasa","2017-03-01",1,2762
"Maciej S. Szmigiero","2017-03-01",1,2762
"Frank Morgner","2017-04-01",7,2762
"Hamano Tsukasa","2017-04-01",1,2762
"Hannu Honkanen","2017-04-01",1,2762
"Jakub Jelen","2017-04-01",2,2762
"Ricky","2017-04-01",2,2762
"Frank Morgner","2017-05-01",5,2762
"Andreas Schwier","2017-06-01",1,2762
"Frank Morgner","2017-06-01",12,2762
"Jakub Jelen","2017-06-01",2,2762
"Andreas Schwier","2017-07-01",1,2762
"Frank Morgner","2017-07-01",8,2762
"Hamano Tsukasa","2017-07-01",1,2762
"Jakub Jelen","2017-07-01",1,2762
"Frank Morgner","2017-08-01",7,2762
"Hamano Tsukasa","2017-08-01",1,2762
"Frank Morgner","2017-09-01",8,2762
"Hannu Honkanen","2017-09-01",1,2762
"Frank Morgner","2017-10-01",11,2762
"Hannu Honkanen","2017-10-01",1,2762
"Raul Metsma","2017-10-01",1,2762
"Frank Morgner","2017-11-01",14,2762
"Hannu Honkanen","2017-11-01",2,2762
"Jakub Jelen","2017-11-01",3,2762
"Raul Metsma","2017-11-01",2,2762
"Frank Morgner","2017-12-01",1,2762
"Doug Engert","2018-01-01",2,2762
"Frank Morgner","2018-01-01",18,2762
"Jakub Jelen","2018-01-01",2,2762
"Jakuje","2018-01-01",1,2762
"Doug Engert","2018-02-01",4,2762
"Frank Morgner","2018-02-01",11,2762
"Doug Engert","2018-03-01",1,2762
"Frank Morgner","2018-03-01",3,2762
"Hannu Honkanen","2018-03-01",1,2762
"Doug Engert","2018-04-01",3,2762
"Frank Morgner","2018-04-01",11,2762
"Hannu Honkanen","2018-04-01",2,2762
"Jakub Jelen","2018-04-01",7,2762
"Peter Marschall","2018-04-01",3,2762
"Frank Morgner","2018-05-01",9,2762
"Hannu Honkanen","2018-05-01",4,2762
"Jakub Jelen","2018-05-01",8,2762
"Jakuje","2018-05-01",1,2762
"Peter Marschall","2018-05-01",6,2762
"Raul Metsma","2018-05-01",1,2762
"Andreas Schwier","2018-06-01",1,2762
"Doug Engert","2018-06-01",2,2762
"Frank Morgner","2018-06-01",14,2762
"Hannu Honkanen","2018-06-01",1,2762
"Jakub Jelen","2018-06-01",11,2762
"Peter Marschall","2018-06-01",22,2762
"Frank Morgner","2018-07-01",15,2762
"Jakub Jelen","2018-07-01",4,2762
"Peter Marschall","2018-07-01",12,2762
"Andreas Schwier","2018-08-01",1,2762
"Doug Engert","2018-08-01",1,2762
"Frank Morgner","2018-08-01",8,2762
"Jakub Jelen","2018-08-01",1,2762
"Frank Morgner","2018-09-01",4,2762
"Jakub Jelen","2018-09-01",1,2762
"Peter Marschall","2018-09-01",7,2762
"Frank Morgner","2018-10-01",9,2762
"Hannu Honkanen","2018-10-01",3,2762
"Jakub Jelen","2018-10-01",3,2762
"Jakuje","2018-10-01",1,2762
"Peter Marschall","2018-10-01",15,2762
"Frank Morgner","2018-11-01",19,2762
"Hannu Honkanen","2018-11-01",1,2762
"Jakub Jelen","2018-11-01",1,2762
"Peter Marschall","2018-11-01",3,2762
"Doug Engert","2018-12-01",5,2762
"Frank Morgner","2018-12-01",6,2762
"Jakub Jelen","2018-12-01",4,2762
"Peter Marschall","2018-12-01",5,2762
"Frank Morgner","2019-01-01",37,2762
"Hannu Honkanen","2019-01-01",1,2762
"Peter Marschall","2019-01-01",7,2762
"Raul Metsma","2019-01-01",5,2762
"Frank Morgner","2019-02-01",4,2762
"Peter Marschall","2019-02-01",1,2762
"Frank Morgner","2019-03-01",24,2762
"Martin Paljak","2019-03-01",2,2762
"Raul Metsma","2019-03-01",2,2762
"Frank Morgner","2019-04-01",5,2762
"Jakub Jelen","2019-04-01",1,2762
"Martin Paljak","2019-04-01",2,2762
"Frank Morgner","2019-05-01",4,2762
"Jakub Jelen","2019-05-01",3,2762
"Andreas Schwier","2019-06-01",2,2762
"Frank Morgner","2019-06-01",5,2762
"Peter Marschall","2019-06-01",1,2762
"Frank Morgner","2019-07-01",2,2762
"Jakub Jelen","2019-07-01",3,2762
"Programatix","2019-07-01",2,2762
"Frank Morgner","2019-08-01",13,2762
"Jakub Jelen","2019-08-01",6,2762
"Andreas Schwier","2019-09-01",1,2762
"Frank Morgner","2019-09-01",7,2762
"Jakub Jelen","2019-09-01",3,2762
"Frank Morgner","2019-10-01",6,2762
"Jakub Jelen","2019-10-01",16,2762
"Frank Morgner","2019-11-01",12,2762
"Jakub Jelen","2019-11-01",30,2762
"Andreas Schwier","2019-12-01",2,2762
"Frank Morgner","2019-12-01",2,2762
"Jakub Jelen","2019-12-01",8,2762
"Peter Marschall","2019-12-01",3,2762
"Frank Morgner","2020-01-01",20,2762
"Jakub Jelen","2020-01-01",5,2762
"Peter Marschall","2020-01-01",8,2762
"Frank Morgner","2020-02-01",12,2762
"Jakub Jelen","2020-02-01",2,2762
"Peter Marschall","2020-02-01",20,2762
"Frank Morgner","2020-03-01",7,2762
"Jakub Jelen","2020-03-01",4,2762
"Peter Marschall","2020-03-01",3,2762
"Frank Morgner","2020-04-01",5,2762
"Jakub Jelen","2020-04-01",3,2762
"Doug Engert","2020-05-01",1,2762
"Frank Morgner","2020-05-01",6,2762
"Peter Marschall","2020-05-01",1,2762
