desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,qtd_commits,commits,doa_a,doa_n,classificacao,autor
Sebastian Pipping,loadlibrary.c,,,(CURL_WINDOWS_APP),,,,,,Autor
Sebastian Pipping,loadlibrary.c,,,(USE_WINDOWS_SSPI) || (!(CURL_DISABLE_TELNET) && \,,,,,,Autor
Sebastian Pipping,loadlibrary.c,,,(WIN32),,,,,,Autor
Sebastian Pipping,loadlibrary.c,,,UNICODE,,,,,,Autor
Sebastian Pipping,loadlibrary.c,,,(_WIN32),,,,,,Autor
Rhodri James,memcheck.c,0,True,,1,ec322eb428970890cced7717eb2715453ec2c1c5  -  2017-04-26 00:01:56+02:00,4.109999510080515,1.0,Generalista,Autor
"Fred L. Drake, Jr.",minicheck.c,0,True,,6,"d1df594ca280e86b7218e9cd8e57af5984b307c3  -  2004-04-30 03:18:11+00:00, 1044e5b3e1039b0a862232566dc834ee8985033a  -  2004-07-15 22:54:19+00:00, 99682bfd2888b6db86c95e2c7a1cd8d2853fbbb9  -  2005-01-28 06:32:31+00:00, e2677da42caeb87eaaf18df7d60df71b1944f26a  -  2005-01-28 16:16:14+00:00, 3e3b98df8acaf87f5fb5a97ef6eb648a22eca28c  -  2006-07-01 02:34:50+00:00, 60391fb20915f60b05280dbadec91b917cbc8857  -  2006-07-01 14:54:06+00:00",4.48499902016103,1.0,Generalista,Autor
Sebastian Pipping,minicheck.c,0,True,,10,"934bcb0ac64c31182a8c51223ea9045e2d30d8f7  -  2016-03-28 21:18:29+02:00, 69746f5ab29f3c2813bf56ccd928009914d1c8c7  -  2016-05-07 16:45:58+02:00, 7c82b0b4ab53d3b62023ff3c902e3cb699863e4b  -  2017-07-15 19:07:30+02:00, 483803255d9b7f6c2c48433e26d69bccce07b290  -  2017-07-15 19:09:30+02:00, 7045b040acf01d1daf67d8afb5a2ccbca167c040  -  2017-08-03 21:23:59+02:00, a704c940a4247f6e7da6ba1e2fa66981916fa728  -  2017-08-12 20:56:14+02:00, bd4b55a68023636b6279e6462be00c889efd2f1a  -  2020-10-25 18:40:38+01:00, 6a7264e3836d0bf4f45c5fb3b236a3d230ec80e1  -  2020-10-25 19:23:27+01:00, 263c76e324816dd10099aff1f3a8fda99f45a321  -  2020-10-25 20:10:43+01:00, 1e243aca3e5b7cdc8ddccc4bd3d7581105250b3f  -  2020-10-25 21:01:54+01:00",4.135344965418052,0.9220392126795997,Generalista,Colaborador
Clark Cooper,outline.c,0,True,,1,c135be083d8e5a41f774f89e0ff1d7884022e278  -  2000-09-18 16:26:23+00:00,3.6455385165579544,1.0,Generalista,Autor
James Clark,readfilemap.c,5,True,O_BINARY,6,"80b9565677c63f990c6fb8844641b40fcf93563d  -  1997-11-15 02:43:48+00:00, 9f41c277f9c936c607b7d06b40daa88ee091e449  -  1997-12-10 07:44:19+00:00, d4ee1a1ee1b6d0ffe4060dff2c1a398b77bb8f53  -  1998-04-05 15:11:29+00:00, 973ad606fde0f7b553a413409b28096032d4aa95  -  1999-05-29 02:19:21+00:00, 4e9aea4c1b2c04bb101a829b9c364e144f90b83e  -  2000-04-21 03:58:42+00:00, 8fd4a833187f53e02b6fe2b1513ea47a780293c4  -  2000-04-21 04:20:31+00:00",4.35484472045831,1.0,Misto,Autor
James Clark,readfilemap.c,,,S_IFMT,,,,,,Autor
James Clark,readfilemap.c,,,S_IFREG,,,,,,Autor
James Clark,readfilemap.c,,,S_ISREG,,,,,,Autor
James Clark,readfilemap.c,,,_O_BINARY,,,,,,Autor
Sebastian Pipping,readfilemap.c,9,True,__BEOS__,10,"fe432127ab2c8d5a939bda0450c171a17fba36a1  -  2016-03-12 05:21:28+01:00, 17be9de91dcc2e3d4f78a5254dcd09067d4570b7  -  2016-06-04 22:07:22+02:00, 766a485e6214bf8a58bc9d2c807b398ca209cce0  -  2017-05-01 01:13:40+02:00, 25853168973f392737d715ad1e6002f4737985eb  -  2017-05-23 01:48:52+02:00, 8f25f91e9e4aa2fffa573c1edb1e6f31a05d7c48  -  2017-05-25 15:06:28+02:00, 85bc1329dd70de45d6ef8e65a65ef6a98676898b  -  2017-06-27 23:23:03+02:00, a704c940a4247f6e7da6ba1e2fa66981916fa728  -  2017-08-12 20:56:14+02:00, 1bfe015a78c181bb9fd9db8e973cb122c6820cd5  -  2017-08-23 16:23:33+02:00, df75ab14f4c449259d07338161c36a2b7d9f86cb  -  2017-09-09 17:30:29+02:00, 850c0922e1b4a2d33a80370b740a084990c15812  -  2017-12-03 18:11:00+01:00",3.971369940189169,0.9119429497755356,Misto,Colaborador
Sebastian Pipping,readfilemap.c,,,!(WIN32) && !(_WIN32) && !(_WIN64),,,,,,Colaborador
Sebastian Pipping,readfilemap.c,,,__LINUX__,,,,,,Colaborador
Sebastian Pipping,readfilemap.c,,,__WATCOMC__,,,,,,Colaborador
Sebastian Pipping,readfilemap.c,,,!(_WIN32) && !(_WIN64),,,,,,Colaborador
