desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Sebastian Pipping,(WIN32),1,2.197,2.197,0.0,4,xmlwf.c,2,1,100.0,1.0,100.0,1.0,4,0.08888888888888889,0.7352941176470589,1.0835170197751411,1.0
Sebastian Pipping,(WIN32),1,2.197,2.197,0.0,4,loadlibrary.c,2,1,100.0,1.0,100.0,1.0,12,0.75,11.538461538461538,1.0835170197751411,1.0
Karl Waclawek,(XML_USE_MSC_EXTENSIONS) && _MSC_VER < 1400,1,1.609,1.099,1.099,2,elements.c,1,1,50.0,1.0,50.0,1.0,1,0.125,3.225806451612903,0.8912378970124486,1.0
Karl Waclawek,(XML_USE_MSC_EXTENSIONS) && _MSC_VER < 1400,1,1.609,1.099,1.099,2,outline.c,1,1,50.0,1.0,50.0,1.0,1,0.125,3.225806451612903,0.8912378970124486,1.0
Sebastian Pipping,(XML_USE_MSC_EXTENSIONS) && _MSC_VER < 1400,0,1.609,1.099,1.099,2,elements.c,1,0,50.0,1.0,50.0,1.0,2,0.25,6.451612903225806,0.8912378970124486,1.0
Sebastian Pipping,(XML_USE_MSC_EXTENSIONS) && _MSC_VER < 1400,0,1.609,1.099,1.099,2,outline.c,1,0,50.0,1.0,50.0,1.0,2,0.25,6.451612903225806,0.8912378970124486,1.0
Sebastian Pipping,(_MSC_VER),1,1.099,1.099,0.0,2,xmlfile.c,1,1,100.0,1.0,100.0,1.0,9,0.1956521739130435,0.9433962264150944,1.0095035098875704,1.0
Sebastian Pipping,(_MSC_VER),1,1.099,1.099,0.0,2,readfilemap.c,1,1,100.0,1.0,100.0,1.0,6,0.2727272727272727,2.608695652173913,1.0095035098875704,1.0
Jose,(_MSC_VER) && (_MSC_VER <= 1700),1,1.099,0.693,0.693,1,xmltok.c,1,1,50.0,1.0,50.0,1.0,1,0.021739130434782608,0.11587485515643106,0.9075700315670454,1.0
Sebastian Pipping,(_MSC_VER) && (_MSC_VER <= 1700),0,1.099,0.693,0.693,1,xmltok.c,1,0,50.0,1.0,50.0,1.0,2,0.043478260869565216,0.23174971031286212,0.9075700315670454,1.0
David Loffredo,(_WIN32),0,1.946,0.693,1.792,4,loadlibrary.c,1,0,50.0,1.0,16.667,0.2,13,0.8125,12.5,0.7893044186919234,0.8041133386591295
Sebastian Pipping,(_WIN32),1,1.946,1.792,0.693,4,codepage.c,2,1,100.0,1.0,83.333,1.0,6,0.75,21.428571428571427,0.981583541454616,1.0
Sebastian Pipping,(_WIN32),1,1.946,1.792,0.693,4,xmlfile.c,1,1,100.0,1.0,83.333,1.0,10,0.21739130434782608,1.0482180293501049,0.981583541454616,1.0
Sebastian Pipping,(_WIN32),1,1.946,1.792,0.693,4,xmlwf.c,1,1,100.0,1.0,83.333,1.0,5,0.1111111111111111,0.9191176470588235,0.981583541454616,1.0
Sebastian Pipping,(_WIN32),1,1.946,1.792,0.693,4,loadlibrary.c,1,1,50.0,1.0,83.333,1.0,14,0.875,13.461538461538462,0.981583541454616,1.0
Clang-Format,(_WIN32) && ! (LOAD_LIBRARY_SEARCH_SYSTEM32),1,0.693,0.693,0.0,1,xmlparse.c,1,1,100.0,1.0,100.0,1.0,34,0.24817518248175183,0.5283605283605284,0.9821873255543234,1.0
Clang-Format,(_WIN32) && !(LOAD_LIBRARY_SEARCH_SYSTEM32),0,1.099,0.693,0.693,1,xmlparse.c,1,0,50.0,1.0,50.0,1.0,35,0.25547445255474455,0.5439005439005439,0.9075700315670454,1.0
Sebastian Pipping,(_WIN32) && !(LOAD_LIBRARY_SEARCH_SYSTEM32),1,1.099,0.693,0.693,1,xmlparse.c,1,1,50.0,1.0,50.0,1.0,36,0.26277372262773724,0.5594405594405595,0.9075700315670454,1.0
Sebastian Pipping,(_WIN32) && (_MSC_VER) && (_MSC_VER < 1600),1,1.609,1.609,0.0,2,runtests.c,2,1,100.0,1.0,100.0,1.0,8,0.13559322033898305,1.5473887814313345,1.0439178321606852,1.0
Sebastian Pipping,(_WIN32) && (_MSC_VER) && (_MSC_VER < 1600),1,1.609,1.609,0.0,2,xmlparse.c,2,1,100.0,1.0,100.0,1.0,38,0.2773722627737226,0.5905205905205905,1.0439178321606852,1.0
Clang-Format,(_WIN64),0,1.099,0.693,0.693,1,runtests.c,1,0,50.0,1.0,50.0,1.0,9,0.15254237288135594,1.7408123791102514,0.9075700315670454,1.0
Sebastian Pipping,(_WIN64),1,1.099,0.693,0.693,1,runtests.c,1,1,50.0,1.0,50.0,1.0,10,0.1694915254237288,1.9342359767891684,0.9075700315670454,1.0
Sebastian Pipping,(__MINGW32__) && (XML_UNICODE),1,0.693,0.693,0.0,1,xmlwf.c,1,1,100.0,1.0,100.0,1.0,6,0.13333333333333333,1.1029411764705883,0.9821873255543234,1.0
