desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,qtd_commits,commits,doa_a,doa_n,classificacao,autor
Gert Doering,block_dns.c,5,False,HAVE_CONFIG_H,2,"6cd7e08d89cc9c39d00989866fb4782d5e7041dc  -  2016-09-18 14:14:23+02:00, 445b192a7c31187c7b5c66c8250a1886b04a2b2c  -  2016-11-13 20:52:28+01:00",3.9798701851489113,1.0,Especialista,Autor
Gert Doering,block_dns.c,,,HAVE_CONFIG_VERSION_H,,,,,,Autor
Gert Doering,block_dns.c,,,defined(_MSC_VER),,,,,,Autor
Gert Doering,block_dns.c,,,WIN32,,,,,,Autor
Gert Doering,block_dns.c,,,_WIN32,,,,,,Autor
James,buffer.c,8,True,BUF_INIT_TRACKING,24,"6fbf66fad3367b24fd6743bcd50254902fd9c8d5  -  2005-09-26 05:28:27+00:00, d40f2b204b78ace5c2c9c3007887571ca5a2ec11  -  2005-11-08 12:50:11+00:00, eadf16a660310162bcc3cadda26f44acd3b83077  -  2005-11-09 07:30:14+00:00, f214bb2115994cc6b4123f3d06db0452f17f2e99  -  2005-12-12 19:46:10+00:00, dcc0b2447ee35addf2688c07bf6a5f984d043344  -  2006-06-24 08:04:42+00:00, 1bda73a7b0f45a2502ae93e33e30b98152d893f3  -  2008-05-12 20:31:43+00:00, 47ae8457f9e9c2bb0f5c1e8f28822e1bbc16c196  -  2008-06-04 05:16:44+00:00, 90efcacba6378a4e29275cd6e9914d73d836a4a4  -  2008-06-11 08:45:09+00:00, 4e9a51d78ffa0696cf7d14ff0292ca8863689f70  -  2008-06-11 10:48:50+00:00, eca86913db7af43c682fbcc793505fadcbc0e78f  -  2008-06-11 21:59:26+00:00, 1c0cc4ad89308f3cc3ea26c6e4566e6e29073de7  -  2008-07-14 18:59:09+00:00, 5d89a3629cb0fd0ca6764ba9a6d6e3d1ff61c70b  -  2008-07-16 20:36:54+00:00, 8e986316d9ad74f0837be34db4d120e596a331f0  -  2008-07-17 20:10:18+00:00, cc1d3998d2edee5d69c07d5e0a750d7e47f5564d  -  2008-07-18 20:46:06+00:00, 7621883663b7948faccc610e12e017cd8f0b16df  -  2008-07-19 00:29:31+00:00, bda8d38b0ca0055253626c023a165b0f7040e0ff  -  2008-07-19 03:39:59+00:00, 26bb4c740b12cf3f606f657103a1695c23f6b72f  -  2008-07-23 19:51:27+00:00, 5a2e9a2587372aeb4b74fa1aadf53283ed7cae10  -  2008-07-26 07:27:03+00:00, c373382c1edabd134c938e3c272ee40b5ee590b6  -  2008-07-26 08:27:50+00:00, b551bec9bc298fbade6bfe5c009dd417c5abd95f  -  2008-07-27 05:31:09+00:00, b8fb090c167ff500a8d702f612a42914d4f0bb03  -  2008-09-06 09:42:17+00:00, 367ed084db5159d822dce53a1e041a5f4e8c1ad3  -  2008-10-06 07:33:45+00:00, d7fa38f2a93ad5923e96bf8d97d3cbc7fec5bd8b  -  2009-05-30 21:38:49+00:00, 673f583f76358b57e7f610084d3cb28bb2a9c4a2  -  2009-09-17 23:43:37+00:00",7.046536121052868,1.0,Misto,Autor
James,buffer.c,,,CHARACTER_CLASS_DEBUG,,,,,,Autor
James,buffer.c,,,DMALLOC,,,,,,Autor
James,buffer.c,,,VERIFY_ALIGNMENT,,,,,,Autor
James,buffer.c,,,WIN32,,,,,,Autor
James,buffer.c,,,ZERO_BUFFER_ON_ALLOC,,,,,,Autor
James,buffer.c,,,ENABLE_BUFFER_LIST,,,,,,Autor
James,buffer.c,,,ARGV_TEST,,,,,,Autor
David Sommerseth,cert_data.c,0,True,,3,"81d882d5302b8b647202a6893b57dfdc61fd6df2  -  2016-12-14 22:33:21+01:00, caa54ac398db25b72d7d1d633d2ee330b5b8a3e9  -  2017-03-29 11:36:48+02:00, 59e7e9fce8de6ea90d13baeaede83adc0b594e22  -  2017-07-25 15:03:14+02:00",3.4323454553375368,0.8499332873842356,Generalista,Colaborador
Vasily Kulikov,cert_data.c,0,True,,1,39e3d336d4eeab847a3395ddeb430e0a9ca387b9  -  2015-02-25 19:07:18+03:00,4.038370430108653,1.0,Generalista,Autor
