commit,data,desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,classificacao,ehautor,ownership,classificacao_ownership
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,base64.c,,,!(HAVE_READV) || !(HAVE_WRITEV),Misto,Colaborador,100.0,Major
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,base64.c,,,(HAVE_TUN_PI) && (HAVE_IPHDR) && (HAVE_IOVEC) && (ETH_P_IPV6) && (ETH_P_IP) && (HAVE_READV) && (HAVE_WRITEV),Misto,Colaborador,100.0,Major
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,base64.c,,,(IFF_ONE_QUEUE) && (SIOCSIFTXQLEN),Misto,Colaborador,100.0,Major
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,base64.c,,,HAVE_LINUX_IF_TUN_H	/* New driver support */,Misto,Colaborador,100.0,Major
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,base64.c,,,HAVE_LINUX_SOCKIOS_H,Misto,Colaborador,100.0,Major
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,base64.c,,,SIMULATE_DHCP_FAILED /* this code is disabled to simulate bad DHCP negotiation */,Misto,Colaborador,100.0,Major
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,base64.c,,,TARGET_SOLARIS,Misto,Colaborador,100.0,Major
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,base64.c,,,TUNNEWPPA,Misto,Colaborador,100.0,Major
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,base64.c,,,TUNSETGROUP,Misto,Colaborador,100.0,Major
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,base64.c,,,TUNSETOWNER,Misto,Colaborador,100.0,Major
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,base64.c,,,DO_DAEMONIZE,Misto,Colaborador,100.0,Major
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,clinat.c,1,True,(ENABLE_CLIENT_NAT),Misto,Autor,100.0,Major
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,httpdigest.c,1,True,,Misto,Autor,100.0,Major
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,packet_id.c,3,True,(HAVE_FLOCK) && (LOCK_EX) && (LOCK_NB),Misto,Colaborador,100.0,Major
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,packet_id.c,,,PID_TEST,Misto,Colaborador,100.0,Major
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,packet_id.c,,,USE_CRYPTO,Misto,Colaborador,100.0,Major
a902ae8881fc32bec13b4a419fb6e09a846df0e6,2011-03-01,James Yonan,packet_id.c,2,True,ENABLE_DEBUG,Misto,Colaborador,100.0,Major
a902ae8881fc32bec13b4a419fb6e09a846df0e6,2011-03-01,James Yonan,packet_id.c,,,PID_SIMULATE_BACKTRACK,Misto,Colaborador,100.0,Major
ac1310528a248c99e039e7afaf48724ad1b7f10e,2011-03-01,James Yonan,packet_id.c,2,True,ENABLE_DEBUG,Misto,Colaborador,100.0,Major
ac1310528a248c99e039e7afaf48724ad1b7f10e,2011-03-01,James Yonan,packet_id.c,,,PID_SIMULATE_BACKTRACK,Misto,Colaborador,100.0,Major
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,push.c,3,True,ENABLE_CLIENT_CR,Misto,Colaborador,100.0,Major
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,push.c,,,ENABLE_CLIENT_NAT,Misto,Colaborador,100.0,Major
d02a86d37bed69ee3fb63d08913623a86c88da15,2011-03-01,James Yonan,push.c,,,ENABLE_MANAGEMENT,Misto,Colaborador,100.0,Major
ac0aaac662b07b3f0eb248cd74a20e3e5d8f9875,2011-03-01,James Yonan,push.c,1,True,,Misto,Colaborador,100.0,Major
0df678794a708eb42426ce9844f78ef034dc94bf,2011-03-01,James Yonan,push.c,1,True,ENABLE_MANAGEMENT,Misto,Colaborador,100.0,Major
15baa4d895410079191686a15685003d9e4f9c54,2011-03-01,James Yonan,push.c,1,True,,Misto,Colaborador,100.0,Major
e52e76ce96f984d1ac9aa91bdb55ac162fce0785,2011-03-01,James Yonan,push.c,1,True,,Misto,Colaborador,100.0,Major
ff65da3a230b658b2c1d52dc1a48612e80a2eb42,2011-03-01,James Yonan,push.c,1,True,,Misto,Colaborador,100.0,Major
e1b99e6b6630a81ffd3287bc11533707332d2dda,2011-03-01,James Yonan,push.c,1,True,ENABLE_MANAGEMENT,Misto,Colaborador,100.0,Major
4ff5b53ff8a1d6232e21a3e8f0538dc87ca4920b,2011-03-01,James Yonan,push.c,1,True,,Misto,Colaborador,100.0,Major
