commit,data,desenvolvedor,arquivo,qtd_variabilidades,existencia,variabilidades,classificacao,ehautor,ownership,classificacao_ownership
2e0b2e2e913ea25adb56ab5c593ba45ce956f868,2009-05-01,Andreas Schneider,keys.c,1,True,,Misto,Colaborador,100.0,Major
1d78b6d00eac5a8a8d5f58f78189a3ce9639d926,2009-05-01,Andreas Schneider,log.c,1,True,,Misto,Colaborador,100.0,Major
8c45767d34af2635507f50f1985e9cce9aed3a06,2009-05-01,Andreas Schneider,log.c,1,True,,Misto,Colaborador,100.0,Major
2e0b2e2e913ea25adb56ab5c593ba45ce956f868,2009-05-01,Andreas Schneider,log.c,1,True,,Misto,Colaborador,100.0,Major
1a280d859d26690e06030b520973639eab04ead7,2009-05-01,Andreas Schneider,match.c,1,True,,Misto,Colaborador,100.0,Major
5c934d09700a9b440e95333d7bb5eb1a3a8847f4,2009-05-01,Andreas Schneider,match.c,1,True,,Misto,Colaborador,100.0,Major
4c7879396140d7983b73da037a219c106ae47d86,2009-05-01,Andreas Schneider,match.c,1,True,,Misto,Colaborador,100.0,Major
2e0b2e2e913ea25adb56ab5c593ba45ce956f868,2009-05-01,Andreas Schneider,match.c,1,True,,Misto,Colaborador,100.0,Major
a15a28e6985b592188d6a5fd9c4002ad383271d6,2009-05-01,Andreas Schneider,messages.c,1,True,,Misto,Colaborador,100.0,Major
2eaf69ee062b6869612707409f5cbc4e056fd1e4,2009-05-01,Andreas Schneider,messages.c,1,True,,Misto,Colaborador,100.0,Major
2e0b2e2e913ea25adb56ab5c593ba45ce956f868,2009-05-01,Andreas Schneider,messages.c,1,True,,Misto,Colaborador,100.0,Major
2e0b2e2e913ea25adb56ab5c593ba45ce956f868,2009-05-01,Andreas Schneider,misc.c,1,True,,Misto,Colaborador,100.0,Major
2e0b2e2e913ea25adb56ab5c593ba45ce956f868,2009-05-01,Andreas Schneider,options.c,1,True,,Misto,Colaborador,100.0,Major
2e0b2e2e913ea25adb56ab5c593ba45ce956f868,2009-05-01,Andreas Schneider,packet.c,1,True,,Misto,Colaborador,100.0,Major
439d995fedde3719097adf6d7650c205ac922f24,2009-05-01,Andreas Schneider,packet.c,1,True,,Misto,Colaborador,100.0,Major
1ac654ec6c5f337cb5dd73eb9fd2bcb762753eee,2009-05-01,Andreas Schneider,packet.c,1,True,,Misto,Colaborador,100.0,Major
152da0702351dce04b62999aa98efc57fbda4489,2009-05-01,Andreas Schneider,sample.c,1,True,,Misto,Colaborador,100.0,Major
152da0702351dce04b62999aa98efc57fbda4489,2009-05-01,Andreas Schneider,samplesshd.c,1,True,,Misto,Colaborador,100.0,Major
a065e35e37923f0568e6fbd00023dff4e5555756,2009-05-01,Andreas Schneider,samplesshd.c,1,True,,Misto,Colaborador,100.0,Major
d008e5aeb8aeaf96625c02d5fa72e79973d8c21c,2009-05-01,Andreas Schneider,server.c,1,True,,Misto,Colaborador,100.0,Major
2e0b2e2e913ea25adb56ab5c593ba45ce956f868,2009-05-01,Andreas Schneider,server.c,1,True,,Misto,Colaborador,100.0,Major
2e0b2e2e913ea25adb56ab5c593ba45ce956f868,2009-05-01,Andreas Schneider,session.c,1,True,,Misto,Colaborador,100.0,Major
152da0702351dce04b62999aa98efc57fbda4489,2009-05-01,Andreas Schneider,sftp.c,1,True,,Misto,Colaborador,100.0,Major
69af190acbc221d872e9f693935339d0e589e627,2009-05-01,Andreas Schneider,sftp.c,1,True,_WIN32,Misto,Colaborador,100.0,Major
2e0b2e2e913ea25adb56ab5c593ba45ce956f868,2009-05-01,Andreas Schneider,sftp.c,1,True,,Misto,Colaborador,100.0,Major
2e0b2e2e913ea25adb56ab5c593ba45ce956f868,2009-05-01,Andreas Schneider,sftpserver.c,1,True,,Misto,Colaborador,100.0,Major
