"Desenvolvedor","Data","Commits","Total"
"Andreas Schneider","2019-05-01",7,3066
"Jakub Jelen","2019-05-01",4,3066
"Anderson Toshiyuki Sasaki","2019-06-01",13,3066
"Andreas Schneider","2019-06-01",1,3066
"Jakub Jelen","2019-06-01",2,3066
"Anderson Toshiyuki Sasaki","2019-07-01",6,3066
"Andreas Schneider","2019-07-01",5,3066
"Anderson Toshiyuki Sasaki","2019-08-01",8,3066
"Andreas Schneider","2019-08-01",4,3066
"Anderson Toshiyuki Sasaki","2019-09-01",1,3066
"Aris Adamantiadis","2019-09-01",1,3066
"Jakub Jelen","2019-09-01",8,3066
"Anderson Toshiyuki Sasaki","2019-10-01",2,3066
"Andreas Schneider","2019-10-01",87,3066
"Aris Adamantiadis","2019-10-01",1,3066
"Jakub Jelen","2019-10-01",3,3066
"Anderson Toshiyuki Sasaki","2019-11-01",1,3066
"Andreas Schneider","2019-11-01",13,3066
"Jakub Jelen","2019-11-01",2,3066
"Andreas Schneider","2019-12-01",2,3066
"Jakub Jelen","2019-12-01",4,3066
"Sahana Prasad","2019-12-01",2,3066
"Anderson Toshiyuki Sasaki","2020-01-01",1,3066
"Andreas Schneider","2020-01-01",9,3066
"Jakub Jelen","2020-01-01",1,3066
"Sahana Prasad","2020-01-01",2,3066
"Andreas Schneider","2020-02-01",5,3066
"Anderson Toshiyuki Sasaki","2020-04-01",1,3066
"Jakub Jelen","2020-04-01",11,3066
"Jakub Jelen","2020-05-01",1,3066
"Sahana Prasad","2020-05-01",2,3066
"Anderson Toshiyuki Sasaki","2020-06-01",1,3066
"Andreas Schneider","2020-06-01",4,3066
"Anderson Toshiyuki Sasaki","2020-07-01",1,3066
"Dirkjan Bussink","2020-10-01",1,3066
"Jakub Jelen","2020-11-01",1,3066
"Dirkjan Bussink","2020-12-01",9,3066
"Andreas Schneider","2021-01-01",1,3066
"Jakub Jelen","2021-01-01",1,3066
