desenvolvedor,variabilidade,fa_geral,qtd_commits_geral,qtd_commits_dl,qtd_commits_ac,qtd_arquivos,arquivo,qtd_commits_arquivo,fa_arquivo,ownership_perc,ownership_n,ownership_geral,ownership_geral_n,ownership_arquivo,ownership_arquivo_n,ownership_arquivo_perc,ownership_rlm,ownership_rlm_n
Aris Adamantiadis,(HAVE_LIBZ) && (WITH_LIBZ),0,2.773,1.609,2.485,6,packet.c,3,0,60.0,1.0,26.667,0.333,5,0.13157894736842105,1.272264631043257,0.776417631311007,0.8095643952390814
Aris Adamantiadis,(HAVE_LIBZ) && (WITH_LIBZ),0,2.773,1.609,2.485,6,packet1.c,1,1,50.0,1.0,26.667,0.333,2,0.18181818181818182,4.761904761904762,0.776417631311007,0.8095643952390814
Alberto Aguirre,(HAVE_MEMSET_S),1,0.693,0.693,0.0,1,misc.c,1,1,100.0,1.0,100.0,1.0,6,0.125,1.075268817204301,0.9821873255543234,1.0
Anderson Toshiyuki Sasaki,(HAVE_OPENSSL_ED25519),1,0.693,0.693,0.0,1,torture_pki_ed25519.c,1,1,100.0,1.0,100.0,1.0,1,0.3333333333333333,25.0,0.9821873255543234,1.0
Jakub Jelen,(HAVE_OPENSSL_EVP_CHACHA20) && (HAVE_OPENSSL_EVP_POLY1305),1,0.693,0.693,0.0,1,libcrypto.c,1,1,100.0,1.0,100.0,1.0,3,0.06818181818181818,0.3645200486026732,0.9821873255543234,1.0
Jakub Jelen,(MBEDTLS_CHACHA20_C) && (MBEDTLS_POLY1305_C),1,0.693,0.693,0.0,1,libmbedcrypto.c,1,1,100.0,1.0,100.0,1.0,1,0.16666666666666666,4.761904761904762,0.9821873255543234,1.0
Aris Adamantiadis,(WITH_BLOWFISH_CIPHER) && (OPENSSH_BLOWFISH_CBC),1,0.693,0.693,0.0,1,torture_algorithms.c,1,1,100.0,1.0,100.0,1.0,6,0.375,4.8,0.9821873255543234,1.0
Anderson Toshiyuki Sasaki,(WITH_GEX),1,0.693,0.693,0.0,1,pkd_hello.c,1,1,100.0,1.0,100.0,1.0,2,0.16666666666666666,2.985074626865672,0.9821873255543234,1.0
Andreas Schneider,(WITH_GSSAPI) && (WITH_SERVER),1,0.693,0.693,0.0,1,packet.c,1,1,100.0,1.0,100.0,1.0,6,0.15789473684210525,1.5267175572519085,0.9821873255543234,1.0
Andreas Schneider,(_MSC_VER) && !(LIBSSH_STATIC),1,0.693,0.693,0.0,1,init.c,1,1,100.0,1.0,100.0,1.0,1,0.08333333333333333,1.3888888888888888,0.9821873255543234,1.0
Andreas Schneider,(_WIN32) && !(__WINPTHREADS_VERSION),1,0.693,0.693,0.0,1,pthread.c,1,1,100.0,1.0,100.0,1.0,1,0.2,9.090909090909092,0.9821873255543234,1.0
Andreas Schneider,(_WIN32_WINNT) && (_WIN32_WINNT >= 0x0600),1,1.099,1.099,0.0,1,poll.c,2,1,100.0,1.0,100.0,1.0,2,0.07692307692307693,1.6129032258064515,1.0095035098875704,1.0
Andreas Schneider,(_WIN32_WINNT) && (_WIN32_WINNT >= 0x0600) */,1,1.099,1.099,0.0,1,poll.c,2,1,100.0,1.0,100.0,1.0,4,0.15384615384615385,3.225806451612903,1.0095035098875704,1.0
Anderson Toshiyuki Sasaki,(defined _WIN32) || (defined _WIN64),1,1.099,1.099,0.0,2,torture_pki.c,1,1,100.0,1.0,100.0,1.0,1,0.04,0.42016806722689076,1.0095035098875704,1.0
Anderson Toshiyuki Sasaki,(defined _WIN32) || (defined _WIN64),1,1.099,1.099,0.0,2,torture.c,1,1,100.0,1.0,100.0,1.0,1,0.05555555555555555,0.6944444444444444,1.0095035098875704,1.0
Anderson Toshiyuki Sasaki,/* !defined(WITH_GEX) */,1,1.099,1.099,0.0,1,pkd_hello.c,2,1,100.0,1.0,100.0,1.0,4,0.3333333333333333,5.970149253731344,1.0095035098875704,1.0
Aris Adamantiadis,AI_NUMERICSERV,1,0.693,0.693,0.0,1,connect.c,1,1,100.0,1.0,100.0,1.0,1,0.034482758620689655,0.4,0.9821873255543234,1.0
Andreas Schneider,BROKEN_AES_CTR,0,2.079,0.693,1.946,3,kex.c,1,0,50.0,1.0,14.286,0.2,4,0.08163265306122448,0.42462845010615713,0.772710098008519,0.8238416464347135
Aris Adamantiadis,BROKEN_AES_CTR,1,2.079,1.792,1.099,3,kex.c,1,1,50.0,1.0,71.429,1.0,5,0.10204081632653061,0.5307855626326964,0.9379352225667721,1.0
Aris Adamantiadis,BROKEN_AES_CTR,1,2.079,1.792,1.099,3,wrapper.c,2,1,100.0,1.0,71.429,1.0,2,0.046511627906976744,0.32362459546925565,0.9379352225667721,1.0
Aris Adamantiadis,BROKEN_AES_CTR,1,2.079,1.792,1.099,3,libcrypto.c,2,1,66.667,1.0,71.429,1.0,5,0.11363636363636363,0.6075334143377886,0.9379352225667721,1.0
Dirkjan Bussink,BROKEN_AES_CTR,0,2.079,0.693,1.946,3,libcrypto.c,1,0,33.333,0.5,14.286,0.2,6,0.13636363636363635,0.7290400972053463,0.473125098008519,0.5044325947305354
